radius,betti0_Snapshot,spec0_Snapshot
0.0000,60,0.0000
0.0050,60,0.0000
0.0100,60,0.0000
0.0150,60,0.0000
0.0200,60,0.0000
0.0250,60,0.0000
0.0300,60,0.0000
0.0350,60,0.0000
0.0400,60,0.0000
0.0450,60,0.0000
0.0500,60,0.0000
0.0550,60,0.0000
0.0600,60,0.0000
0.0650,60,0.0000
0.0700,60,0.0000
0.0750,60,0.0000
0.0800,60,0.0000
0.0850,60,0.0000
0.0900,60,0.0000
0.0950,60,0.0000
0.1000,60,0.0000
0.1050,60,0.0000
0.1100,60,0.0000
0.1150,60,0.0000
0.1200,60,0.0000
0.1250,60,0.0000
0.1300,60,0.0000
0.1350,60,0.0000
0.1400,60,0.0000
0.1450,60,0.0000
0.1500,60,0.0000
0.1550,60,0.0000
0.1600,60,0.0000
0.1650,60,0.0000
0.1700,60,0.0000
0.1750,60,0.0000
0.1800,60,0.0000
0.1850,60,0.0000
0.1900,60,0.0000
0.1950,60,0.0000
0.2000,60,0.0000
0.2050,60,0.0000
0.2100,60,0.0000
0.2150,60,0.0000
0.2200,60,0.0000
0.2250,60,0.0000
0.2300,60,0.0000
0.2350,60,0.0000
0.2400,60,0.0000
0.2450,60,0.0000
0.2500,60,0.0000
0.2550,60,0.0000
0.2600,60,0.0000
0.2650,60,0.0000
0.2700,60,0.0000
0.2750,60,0.0000
0.2800,60,0.0000
0.2850,60,0.0000
0.2900,60,0.0000
0.2950,60,0.0000
0.3000,60,0.0000
0.3050,60,0.0000
0.3100,60,0.0000
0.3150,60,0.0000
0.3200,60,0.0000
0.3250,60,0.0000
0.3300,60,0.0000
0.3350,60,0.0000
0.3400,60,0.0000
0.3450,60,0.0000
0.3500,60,0.0000
0.3550,60,0.0000
0.3600,60,0.0000
0.3650,60,0.0000
0.3700,60,0.0000
0.3750,60,0.0000
0.3800,60,0.0000
0.3850,60,0.0000
0.3900,60,0.0000
0.3950,60,0.0000
0.4000,60,0.0000
0.4050,60,0.0000
0.4100,60,0.0000
0.4150,60,0.0000
0.4200,60,0.0000
0.4250,60,0.0000
0.4300,60,0.0000
0.4350,60,0.0000
0.4400,60,0.0000
0.4450,60,0.0000
0.4500,60,0.0000
0.4550,60,0.0000
0.4600,60,0.0000
0.4650,60,0.0000
0.4700,60,0.0000
0.4750,60,0.0000
0.4800,60,0.0000
0.4850,60,0.0000
0.4900,60,0.0000
0.4950,60,0.0000
0.5000,60,0.0000
0.5050,60,0.0000
0.5100,60,0.0000
0.5150,60,0.0000
0.5200,60,0.0000
0.5250,60,0.0000
0.5300,60,0.0000
0.5350,60,0.0000
0.5400,60,0.0000
0.5450,60,0.0000
0.5500,60,0.0000
0.5550,60,0.0000
0.5600,60,0.0000
0.5650,60,0.0000
0.5700,60,0.0000
0.5750,60,0.0000
0.5800,60,0.0000
0.5850,60,0.0000
0.5900,60,0.0000
0.5950,60,0.0000
0.6000,60,0.0000
0.6050,60,0.0000
0.6100,60,0.0000
0.6150,60,0.0000
0.6200,60,0.0000
0.6250,60,0.0000
0.6300,60,0.0000
0.6350,60,0.0000
0.6400,60,0.0000
0.6450,60,0.0000
0.6500,60,0.0000
0.6550,60,0.0000
0.6600,60,0.0000
0.6650,60,0.0000
0.6700,60,0.0000
0.6750,60,0.0000
0.6800,60,0.0000
0.6850,30,2.0000
0.6900,30,2.0000
0.6950,30,2.0000
0.7000,30,2.0000
0.7050,30,2.0000
0.7100,30,2.0000
0.7150,30,2.0000
0.7200,30,2.0000
0.7250,1,0.2434
0.7300,1,0.2434
0.7350,1,0.2434
0.7400,1,0.2434
0.7450,1,0.2434
0.7500,1,0.2434
0.7550,1,0.2434
0.7600,1,0.2434
0.7650,1,0.2434
0.7700,1,0.2434
0.7750,1,0.2434
0.7800,1,0.2434
0.7850,1,0.2434
0.7900,1,0.2434
0.7950,1,0.2434
0.8000,1,0.2434
0.8050,1,0.2434
0.8100,1,0.2434
0.8150,1,0.2434
0.8200,1,0.2434
0.8250,1,0.2434
0.8300,1,0.2434
0.8350,1,0.2434
0.8400,1,0.2434
0.8450,1,0.2434
0.8500,1,0.2434
0.8550,1,0.2434
0.8600,1,0.2434
0.8650,1,0.2434
0.8700,1,0.2434
0.8750,1,0.2434
0.8800,1,0.2434
0.8850,1,0.2434
0.8900,1,0.2434
0.8950,1,0.2434
0.9000,1,0.2434
0.9050,1,0.2434
0.9100,1,0.2434
0.9150,1,0.2434
0.9200,1,0.2434
0.9250,1,0.2434
0.9300,1,0.2434
0.9350,1,0.2434
0.9400,1,0.2434
0.9450,1,0.2434
0.9500,1,0.2434
0.9550,1,0.2434
0.9600,1,0.2434
0.9650,1,0.2434
0.9700,1,0.2434
0.9750,1,0.2434
0.9800,1,0.2434
0.9850,1,0.2434
0.9900,1,0.2434
0.9950,1,0.2434
1.0000,1,0.2434
1.0050,1,0.2434
1.0100,1,0.2434
1.0150,1,0.2434
1.0200,1,0.2434
1.0250,1,0.2434
1.0300,1,0.2434
1.0350,1,0.2434
1.0400,1,0.2434
1.0450,1,0.2434
1.0500,1,0.2434
1.0550,1,0.2434
1.0600,1,0.2434
1.0650,1,0.2434
1.0700,1,0.2434
1.0750,1,0.2434
1.0800,1,0.2434
1.0850,1,0.2434
1.0900,1,0.2434
1.0950,1,0.2434
1.1000,1,0.2434
1.1050,1,0.2434
1.1100,1,0.2434
1.1150,1,0.2434
1.1200,1,0.2434
1.1250,1,0.2434
1.1300,1,0.2434
1.1350,1,0.2434
1.1400,1,0.2434
1.1450,1,0.2434
1.1500,1,0.2434
1.1550,1,0.2434
1.1600,1,0.2434
1.1650,1,0.2434
1.1700,1,0.2434
1.1750,1,0.4201
1.1800,1,0.4201
1.1850,1,0.4201
1.1900,1,0.4201
1.1950,1,0.4201
1.2000,1,0.4201
1.2050,1,0.4201
1.2100,1,0.4201
1.2150,1,0.4201
1.2200,1,1.6446
1.2250,1,1.6446
1.2300,1,1.6446
1.2350,1,1.6446
1.2400,1,1.6446
1.2450,1,1.6446
1.2500,1,1.6446
1.2550,1,1.6446
1.2600,1,1.6446
1.2650,1,1.6446
1.2700,1,1.6446
1.2750,1,1.6446
1.2800,1,1.6446
1.2850,1,1.6446
1.2900,1,1.6446
1.2950,1,1.6446
1.3000,1,1.6446
1.3050,1,1.6446
1.3100,1,1.6446
1.3150,1,1.6446
1.3200,1,1.6446
1.3250,1,1.6446
1.3300,1,1.6446
1.3350,1,1.6446
1.3400,1,1.6446
1.3450,1,1.6446
1.3500,1,1.6446
1.3550,1,1.6446
1.3600,1,1.6446
1.3650,1,1.6446
1.3700,1,1.6446
1.3750,1,1.6446
1.3800,1,1.6446
1.3850,1,1.6446
1.3900,1,1.6446
1.3950,1,1.6446
1.4000,1,1.6446
1.4050,1,1.6446
1.4100,1,2.2748
1.4150,1,2.2748
1.4200,1,2.2748
1.4250,1,2.2748
1.4300,1,2.2748
1.4350,1,2.2748
1.4400,1,2.2748
1.4450,1,2.2748
1.4500,1,2.2748
1.4550,1,2.2748
1.4600,1,2.2748
1.4650,1,2.2748
1.4700,1,2.2748
1.4750,1,2.2748
1.4800,1,2.2748
1.4850,1,2.2748
1.4900,1,2.2748
1.4950,1,2.2748
1.5000,1,2.2748
1.5050,1,2.2748
1.5100,1,2.2748
1.5150,1,2.2748
1.5200,1,2.2748
1.5250,1,2.2748
1.5300,1,2.2748
1.5350,1,2.2748
1.5400,1,2.2748
1.5450,1,2.2748
1.5500,1,2.2748
1.5550,1,2.2748
1.5600,1,2.2748
1.5650,1,2.2748
1.5700,1,2.2748
1.5750,1,2.2748
1.5800,1,2.2748
1.5850,1,2.2748
1.5900,1,2.2748
1.5950,1,2.2748
1.6000,1,2.2748
1.6050,1,2.2748
1.6100,1,2.2748
1.6150,1,2.2748
1.6200,1,2.2748
1.6250,1,2.2748
1.6300,1,2.2748
1.6350,1,2.2748
1.6400,1,2.2748
1.6450,1,2.2748
1.6500,1,2.2748
1.6550,1,2.2748
1.6600,1,2.2748
1.6650,1,2.2748
1.6700,1,2.2748
1.6750,1,2.2748
1.6800,1,2.2748
1.6850,1,2.2748
1.6900,1,2.2748
1.6950,1,2.2748
1.7000,1,2.2748
1.7050,1,2.2748
1.7100,1,2.2748
1.7150,1,2.2748
1.7200,1,2.2748
1.7250,1,2.2748
1.7300,1,2.2748
1.7350,1,2.2748
1.7400,1,2.2748
1.7450,1,2.2748
1.7500,1,2.2748
1.7550,1,2.2748
1.7600,1,2.2748
1.7650,1,2.2748
1.7700,1,2.2748
1.7750,1,4.2918
1.7800,1,4.2918
1.7850,1,4.2918
1.7900,1,4.2918
1.7950,1,4.2918
1.8000,1,4.2918
1.8050,1,4.2918
1.8100,1,4.2918
1.8150,1,4.2918
1.8200,1,4.2918
1.8250,1,4.2918
1.8300,1,4.2918
1.8350,1,5.4056
1.8400,1,5.4056
1.8450,1,5.4056
1.8500,1,5.4056
1.8550,1,5.4056
1.8600,1,5.4056
1.8650,1,5.4056
1.8700,1,5.4056
1.8750,1,5.4056
1.8800,1,5.4056
1.8850,1,5.4056
1.8900,1,5.4056
1.8950,1,5.4056
1.9000,1,5.4056
1.9050,1,5.4056
1.9100,1,5.4056
1.9150,1,5.4056
1.9200,1,5.4056
1.9250,1,5.4056
1.9300,1,5.4056
1.9350,1,5.4056
1.9400,1,5.4056
1.9450,1,5.4056
1.9500,1,5.4056
1.9550,1,5.4056
1.9600,1,5.4056
1.9650,1,5.4056
1.9700,1,5.4056
1.9750,1,5.4056
1.9800,1,5.4056
1.9850,1,5.4056
1.9900,1,5.4056
1.9950,1,5.4056
2.0000,1,5.4056
